Category,Message
1,"I noticed some unfamiliar transactions on my debit card statement, including purchases from an online store and an international transaction that I didn't authorize. To address this, I promptly reported these unauthorized charges to my bank and was advised to reach out to the helpline for further assistance. The attached transaction details provide additional information for your investigation.",,,
1,"Highlighting a UPI-related issue encountered during a routine online payment, wherein a seemingly secure transaction led to an unauthorized deduction. The incident has prompted a reevaluation of online payment practices. Urgently seeking your expert assistance in investigating and resolving this matter.",,,
0,"What's up squad? Demat or Depository chaos alert! Did my financial dance, got a sketchy transaction. Hit 'confirm,' and surprise! Funds are pulling a disappearing act. Check the deets, squad, and save the day! ",,,
1,"Experienced a distressing internet banking fraud incident while conducting a routine online transfer. Without warning, a seemingly secure transaction led to an unauthorized withdrawal, diverting funds from my account. This breach occurred on a trusted online banking platform, raising significant concerns about the security of my financial transactions. Actively reviewing my account details, I've identified irregularities that demand urgent attention. The incident has unfolded without any suspicious activities on my part, urging a thorough investigation to understand how this breach occurred and fortify the security measures for future online transactions.",,,
0,"Hey folks, just got hit with some wild E-wallet rollercoaster during my digital spending spree. Tried to make it rain with funds, but my wallet decided to ghost me. Check out the deets I'm tossing your way?need some magic to resurrect my cash, like, pronto!",,,
0,"Hey team, just got slapped with some wild Aadhar Enabled Payment System (AEPS) chaos during my digital financial jive. Attempted a seamless transaction, but my AEPS decided to play hide and seek with my funds. Check the deets I'm flinging your way?need some wizardry to bring my money back, like, pronto!",,,
1,"I discovered fraudulent activities in my business email after unknowingly clicking on a phishing link. The email appeared to be from a trusted colleague, urging me to update sensitive information. Attached are email details, screenshots of the phishing site, and a timeline of unauthorized access.",,,
1,"My bank account faced unauthorized transactions following a deceptive phone call. The caller, posing as a bank representative, manipulated me into providing sensitive information for supposed account verification. Attached are call records, communication details, and transaction statements.",,,
0,"Clicked on a link in an email, promising exclusive access to a new internet banking feature. Shared my login details for the feature, and now there are transactions I didn't approve. Attached the email, I can't control my excitement of using new feature.",,,
1,"On mentioned date, I discovered unauthorized transactions on my credit card after making an online purchase from a reputed e-commerce platform. Despite ensuring a secure connection, fraudulent charges appeared. Attached are transaction details and screenshots for your investigation.",,,
0,"Sup helpline peeps? UPI chaos alert! Did my online money dance, got a sketchy payment request. Hit 'pay,' and surprise! Money's doing a vanishing act. Check the deets, squad, and save the day!",,,
1,"I am very worried, my Demat account encountered fraudulent activities after engaging with an online investment platform. The platform, posing as a reputable brokerage, prompted me to update my account information. Attached are platform screenshots, communication records, and transaction details.",,,
0,"Clicked on a link in an email, claiming to enhance email security. Shared my login details for the security update, and now there are unauthorized actions in my email. Attached the email, but who can resist the promise of improved security?",,,
1,"On the above mentioned date, faced unauthorized transactions through my e-wallet after receiving an email claiming to be from the e-wallet provider. The email, posing as official communication, tricked me into providing login credentials for alleged security verification. Attached are email records, communication details, and transaction statements.",,,
0,"Received a call on date mentioned, claiming to be from the bank and asking for account details for an exclusive offer. Shared the information, and now there are unauthorized transactions. Being greedy I gave my information.",,,
1,"On the above mentioned date, unauthorized transactions occurred through AEPS after receiving a call claiming to be from the bank. The caller, posing as a bank representative, manipulated me into providing Aadhar details for supposed KYC verification. Attached are call records, communication details, and transaction statements.",,,
1,"I discovered unauthorized transactions in my internet banking account after falling victim to a phishing email. The email, disguised as an official communication from the bank, led me to a deceptive website where I inadvertently shared my login credentials. Attached are email details, screenshots of the phishing website, and transaction records.",,,
1,"On date mentioned, I observed irregularities in my Demat account after responding to a seemingly authentic email about a stock market seminar. Unknowingly, I provided my account details for registration, leading to unauthorized transactions. Attached are email screenshots, seminar details, and transaction records.",,,
0,"Hey team! UPI scam vibes. Routine payment, hit 'pay,' but my money's playing hide and seek. Check the deets I'm slapping here, squad. Need your superhero moves to rescue my cash?ASAP!",,,
1,"During an incident on date mentioned, my personal information was compromised after engaging in a fraudulent call that claimed to be from a government agency. The caller convinced me to disclose details for identity verification. Attached are call records, communication details, and records of unauthorized activities.",,,
0,"Received a call, claimed to be e-wallet customer support, and promised immediate benefits but insisted on sensitive information first. Shared the details, and now there are unauthorized activities. Attached the call recording, I couldn't control and became victim in the greed of instant reward. Help me.",,,
1,"During an incident on mentioned date, my business email experienced unauthorized access after responding to a seemingly official customer complaint email. The email, appearing to be from a client, led me to a deceptive portal where I shared my login credentials. Attached are email details, screenshots, and a record of unauthorized actions.",,,
0,"So, I was on this random website, and they promised a crazy discount if I entered my credit card details. Did it, and now there are transactions I never approved. Attached the website screenshot, but honestly, who knows if it's even their fault?",,,
1,"In this incident, my internet banking account faced unauthorized access after responding to a seemingly legitimate customer support call. The caller, posing as a bank representative, manipulated me into providing my account details for supposed security verification. Attached are call records, communication details, and transaction statements.",,,
1,"My Aadhar details were exposed following a call posing as a government official conducting a survey. The caller manipulated me into disclosing Aadhar information for supposed demographic research. Attached are call records, communication details, and records of unauthorized activities.",,,
1,"I fell victim to vishing as my credit card details were compromised following a call claiming to be from the card issuer. The caller, posing as a representative, tricked me into providing card details for supposed security checks. Attached are call records, communication details, and transaction statements.",,,
1,"Sir, I experienced Sim Swap Fraud. My mobile service unexpectedly went inactive, and upon investigation, I discovered that someone fraudulently initiated a Sim Swap. Attached are screenshots of the service disruption and subsequent communication with my telecom provider.",,,
1,"I became aware of the UPI-related fraud incident through a suspicious WhatsApp message on the mentioned date. The message contained a link, and upon clicking, it redirected to a phishing site that mimicked my bank's UPI interface. Unknowingly, I entered my credentials, leading to unauthorized transactions. I am attaching screenshots of the fraudulent messages, transaction details, and the phishing website for your investigation.",,,
1,"On the mentioned date, I detected irregularities in my internet banking account after engaging with a fraudulent mobile app. The app, disguised as the official banking app, prompted me to provide my login credentials. Attached are app details, screenshots, and transaction records.",,,
1,"My business email exhibited irregularities after receiving a sophisticated phishing email posing as an invoice from a known supplier. The email, seemingly routine, led to a fraudulent website where I unwittingly shared my login credentials. Attached are email details, screenshots, and transaction statements.",,,
1,"My Demat account faced unauthorized activities after attending an investment webinar. The presenter, posing as a financial expert, requested account details for exclusive investment opportunities. Attached are webinar details, communication records, and transaction statements.",,,
1,"I became victim of an incident in which, vishing led to unauthorized access to my online accounts. The caller posed as tech support, convincing me to share account credentials for a supposed security check. Attached are call records, communication details, and records of unauthorized access.",,,
0,"Received a call, sounded like e-wallet support, claimed my account had issues, and insisted on sensitive information for a quick fix. Shared the details, and now there is unauthorized access. Attached the call recording, but who can resist fixing account issues promptly?",,,
1,"Fell victim to AEPS fraud as unauthorized transactions occurred after a call claiming to be from a financial institution offering Aadhar-linked benefits. The caller, posing as a representative, tricked me into providing Aadhar details for supposed financial incentives. Attached are call records, communication details, and transaction statements.",,,
1,"On mentioned incident date, my Sim Swap Fraud incident occurred after falling for a fake promotional message offering exclusive discounts. The message prompted me to click a link and provide my details for supposed rewards. Attached are screenshots and the promotional message.",,,
1,"Unauthorized transactions appeared in my internet banking account after responding to an official-looking SMS. The SMS, posing as a security alert, led me to a deceptive website where I unwittingly shared my login credentials. Attached are SMS details, screenshots of the phishing site, and transaction records.",,,
1,"On above mention, I discovered unauthorized UPI transactions originating from a suspicious WhatsApp message. The message, seemingly from my bank, contained a deceptive link leading to a phishing site. Without realizing, I entered my credentials, resulting in unauthorized transactions. Attached are screenshots displaying the fraudulent messages, transaction details, and the phishing website, aiming to assist your investigation.",,,
1,"In an unforeseen turn on, my business email faced unauthorized access after interacting with a seemingly legitimate job application email. The email prompted me to download an attachment, unknowingly granting access to my email account. Attached are email details, screenshots, and a timeline of unauthorized activities.",,,
0,"Received a call, claimed to be from the credit card company, and asked for card details for a special promotion. Shared the details, and now there are unauthorized transactions. Attached the call recording, but the call looks real and I can control myself in order grab the promotion.",,,
1,"Fell victim to e-wallet fraud as unauthorized transactions occurred after a phishing message claiming to be from the e-wallet provider. The message, posing as an official notification, tricked me into clicking on a fraudulent link and providing login details. Attached are message records, communication details, and transaction statements.",,,
0,"Received a call, claiming to be from the bank and promising cashback through AEPS but needed Aadhar details first. Shared the information, and now there are unauthorized transactions. I became victim of this trap, please help me.",,,
0,"Received a text on the mentioned date saying I won a prize and needed to click a link. Clicked it, and now my Sim got swapped. Attached the text message, but who can resist winning stuff, right?",,,
0,"Received a call, sounded official, asked for internet banking details for security. Gave it, and now there are transactions I didn't make. Attached the call recording, but who knows if it's even them? Callers can sound quite convincing.",,,
0,"Got this email, that seemed bank-ish, asking for UPI deets for some security reason. I clicked, put in what they wanted, and now I'm dealing with transactions I didn't do. Screenshot attached, but who knows if it's legit.",,,
1,"During an incident, my business email experienced unauthorized access after engaging with a seemingly official survey email. The email enticed me to participate in a survey, leading to a phishing site where I unwittingly shared login credentials. Attached are email details, screenshots, and records of unauthorized activities.",,,
1,"In an unexpected turn, e-wallet-related fraud led to unauthorized access to my bank account. The fraudster posed as an e-wallet representative, convincing me to share sensitive information for a supposed account verification. Attached are call records, communication details, and records of unauthorized access.",,,
1,"On mentioned date, I encountered unauthorized transactions in my bank account after receiving a call from someone posing as a bank representative. The caller convinced me to share my sensitive information for a supposed security check. Attached are call records, communication details, and transaction statements.",,,
1,"In an unexpected turn, AEPS led to unauthorized access to my bank account. The caller posed as a service provider, convincing me to share Aadhar details for a supposed upgrade. Attached are call records, communication details, and records of unauthorized access.",,,
1,"During an incident, unauthorized charges appeared on my credit card statement after responding to a phishing call posing as my bank. The caller convinced me to provide my card details for supposed account verification. Attached are call records and transaction details.",,,
1,"During an unexpected turn on mentioned date, my Demat account encountered fraudulent transactions after falling for a phishing call pretending to be from the depository. The caller insisted on verifying my account details for security purposes. Attached are call records, communication details, and transaction statements.",,,
1,"During an incident, I encountered unauthorized UPI transactions through a suspicious email. The message, posing as my bank, contained a link to a phishing site. Without realizing, I entered my credentials, leading to unauthorized transactions. Screenshots are attached to aid your investigation.",,,
1,"My financial accounts faced unauthorized access after a vishing call where the caller pretended to be a utility company representative. They coerced me into sharing account details for supposed bill verification. Attached are call records, communication details, and records of unauthorized access.",,,
1,"In this incident, my internet banking faced unauthorized access after engaging with a seemingly genuine email offering a special loyalty program. The email directed me to a fake website where I provided my login details. Attached are email details, screenshots of the deceptive site, and transaction statements.",,,
1,"I noticed unauthorized transactions on my credit card after using it at a gas station. Suspecting a skimming device, I immediately reported it to my bank. Attached are transaction details and the receipt from the gas station.",,,
1,"On the date mentioned, faced unauthorized transactions through AEPS after a call posing as a bank representative. The caller convinced me to provide Aadhar details for supposed account security. Attached are call records, communication details, and transaction statements.",,,
0,"Received a complaint email on, sounded urgent, asked for email details for resolution. Shared it, and now there are unauthorized activities. Attached the email, but who knows if it's even a legitimate complaint?",,,
1,"On the above mentioned date, faced unauthorized transactions through my e-wallet after clicking on a fake advertisement promising exclusive discounts. The fraudulent ad tricked me into entering e-wallet credentials on a counterfeit website. Attached are ad records, communication details, and transaction statements.",,,
1,"I discovered irregularities in my Demat account following participation in an online investment quiz. The quiz, seemingly harmless, prompted me to provide account details for personalized investment tips. Attached are quiz details, communication records, and transaction statements.",,,
1,"In an unexpected turn on mentioned date, my internet banking account faced unauthorized transactions after clicking on an advertisement on a trusted website. The ad prompted me to enter my login credentials for a supposed exclusive offer. Attached are ad details, screenshots, and transaction records.",,,
1,"On this Tuesday, my Sim Swap Fraud occurred after engaging with a fraudulent customer survey. I unwittingly provided my details for a supposed prize. Attached are screenshots and the survey link.",,,
1,"My business email encountered irregularities after falling victim to an email impersonating an executive, instructing a fund transfer. The email appeared authentic, leading to a fraudulent platform where I mistakenly transferred funds. Attached are email details, screenshots, and records of the unauthorized transaction.",,,
0,"I'm reporting a suspicious occurrence involving an email, claiming to be from my bank, requesting UPI details for a supposed security update. After clicking the provided link, I entered my information. Later, I noticed unauthorized transactions. I'm attaching a screenshot of the email, but its authenticity is uncertain.",,,
1,"Encountered unauthorized transactions through my e-wallet after falling victim to a fake customer support call. The caller, pretending to be from the e-wallet provider, convinced me to share OTP for supposed account verification. Attached are call records, communication details, and transaction statements.",,,
0,"Received a call, claiming to be tech support and offering a quick fix for my computer issues. Shared remote access, and now there are unauthorized transactions. I didn't know whether he was a real technician or a fraud one and became the victim of this as I wanted urgent solution.",,,
0,"Received a call on the mentioned date, claimed to be from a government initiative, and promised subsidy benefits through AEPS but needed Aadhar details first. Shared the information, and now there are unauthorized transactions. Attached the call recording, but who can resist extra subsidies?",,,
0,"Clicked on an ad on mentioned date, promising exclusive discounts through internet banking. Shared my login details for the offer, and now there are transactions I didn't authorize. Attached the ad, but who can resist a good deal?",,,
0,"Visited this investment-themed website, and they had this flashy pop-up promising a quick investment strategy. Entered my Demat details, and now there are transactions I didn't approve. Attached a screenshot of the website's irresistible offer, but who can resist a shortcut to financial success?",,,
0,"Received a survey call on mentioned date, sounded official, asked for personal details for a public interest survey. Shared the information, and now there are unauthorized activities in my account and don't know what happen. Please help me! Attached the call recording, but who can resist contributing to societal research?",,,
0,"I Made a transaction at this online store, and now there are transactions I didn't approve. Attached a screenshot of the homepage, but who knows if it's even related?",,,
1,"During an incident, my Aadhar details were exposed following a call pretending to be from a government agency conducting a demographic survey. The caller manipulated me into disclosing Aadhar information for supposed research. Attached are call records, communication details, and records of unauthorized activities.",,,
1,"Unauthorized transactions surfaced in my internet banking account after inadvertently downloading a malicious mobile app. The app, disguised as a legitimate banking application, tricked me into entering my login credentials. Attached are app details, screenshots, and transaction records.",,,
1,"I experienced unauthorized UPI transactions on mentioned date through a phishing link received on WhatsApp. The message appeared to be from my bank, directing me to a fake website. I unwittingly provided my credentials, resulting in fraudulent transactions. Attached are screenshots for your investigation.",,,
0,"Clicked on an email link, claiming urgent business matters. Shared my email details for the supposed emergency, and now there are unauthorized actions. Attached the email, but being the urgent matter I didn't think much.",,,
1,"On mentioned date, my Demat account witnessed suspicious activities after responding to an official-looking SMS urging me to click a link for a mandatory account update. Unaware, I provided my details, resulting in unauthorized transactions. Attached are SMS details, link screenshots, and transaction records.",,,
0,"Received a charity call, claimed to represent a renowned organization, and asked for account details for a generous donation. Shared the information, and now there is unauthorized access. Attached the call recording. I can't stop myself contributing for a noble cause.",,,
0,"Received an exciting survey, provided my details, and now my Sim got swapped. Attached the survey, but who wouldn't want to share their opinions for rewards? Scammers exploit human curiosity for their advantage.",,,
0,"Received a call, promised instant benefits through AEPS but required Aadhar details first. Shared the information, and now there are unauthorized transactions. Attached the call recording, but who can resist immediate financial gains?",,,
0,"Received a call, claimed to be e-wallet support, promised immediate cashback but insisted on sharing the OTP first. Shared the information, and now there are unauthorized transactions. Attached the call recording, but who can resist extra cash?",,,
1,"During an incident on mentioned date, my internet banking account faced unauthorized access following an engagement with a fraudulent chatbot on a social media platform. The chatbot, posing as a customer service representative, coerced me into sharing my login details. Attached are social media interactions, chatbot conversations, and transaction statements.",,,
1,"In an unforeseen event, unauthorized access occurred in my business email after engaging with a seemingly official webinar invitation. The email directed me to a fake registration site, where I unknowingly shared login credentials. Attached are email details, screenshots, and records of unauthorized activities.",,,
1,"Unauthorized transactions occurred after a vishing call posing as a customer support agent for an online shopping platform. The caller convinced me to share my login credentials, leading to the compromise of my account. Attached are call records, communication details, and transaction statements.",,,
0,"Clicked on a link in a text message on mentioned date, promising a quick Demat account upgrade. Shared my account details, and now there are transactions I didn't approve. Attached the SMS, but who can resist a message claiming to improve your financial portfolio?",,,
0,"A weird email hit me up on [date] saying I was eligible for a special offer. Clicked it, entered my UPI details, and now there are transactions I didn't make. Check the email screenshot.",,,
1,"In an unexpected turn of events on mentioned date, my credit card details were compromised during a seemingly normal customer support call. The fraudster, posing as a bank representative, skillfully manipulated me into divulging sensitive information. Attached are call records, transaction details, and a voice message fragment showcasing the scammer's tactics.",,,
0,"Received an exciting survey, provided my internet banking details for a reward, and now there are transactions I didn't make. Attached the survey, but who wouldn't want to share their opinions for a bonus?",,,
1,"Fell victim to vishing as my credit card details were compromised following a call claiming to be from a travel agency offering exclusive deals. The caller, posing as an agent, tricked me into providing card details for supposed discounted travel packages. Attached are call records, communication details, and transaction statements.",,,
1,"In an unexpected turn, AEPS led to unauthorized access to my bank account. The caller posed as a service provider, convincing me to share Aadhar details for a supposed account upgrade. Attached are call records, communication details, and records of unauthorized access.",,,
1,"Clicked on an executive's email, instructing a fund transfer for a critical project. Shared my email details for confirmation, and now there are unauthorized actions. Attached the email, but who can resist assisting in critical projects?",,,
1,"Faced unauthorized transactions through my e-wallet after responding to a phishing email. The email, pretending to be from the e-wallet provider, directed me to a fraudulent website for supposed account maintenance. Attached are email records, communication details, and transaction statements.",,,
1,"I detected irregularities in my Demat account after engaging with a deceptive investment app. The app, posing as a trustworthy platform, prompted me to provide account details for a personalized investment plan. Attached are app details, communication records, and transaction statements.",,,
1,"This incident happened because of my ignorance in which, my internet banking account encountered unauthorized transactions after inadvertently clicking on a pop-up ad while accessing a popular shopping website. The ad prompted me to enter my login details for a supposed discount coupon. Attached are ad details, screenshots, and transaction records.",,,
1,"During an incident on mentioned, I fell victim to unauthorized UPI transactions after clicking on an advertisement on a trusted shopping website. The ad claimed exclusive discounts and prompted me to input UPI details for a supposed voucher. Screenshots are attached for investigation.",,,
1,"My business email faced unauthorized access after engaging with a deceptive recruitment email. The email, seemingly from HR, led me to a fake job application portal where I mistakenly shared my login credentials. Attached are email details, screenshots, and a record of unauthorized activities.",,,
1,"During an incident, my Aadhar details were compromised following a call posing as a mobile service provider offering exclusive plans. The caller coerced me into providing Aadhar information for supposed loyalty benefits. Attached are call records, communication details, and records of unauthorized activities.",,,
0,"Received a call, claimed to be from the utility company, promising a refund for overbilling, but needed account details first. Shared the information, and now there are unauthorized transactions. Attached the call recording, I wanted my money back so I don't thought whether the person is legitimate or not.",,,
0,"So, I was scrolling this discount-heavy website, and they had this flashy pop-up saying, ""Enter your card for a special offer!"" Obviously, I couldn't resist. Now there are transactions on my card I never approved. Attached a screenshot of the website's irresistible deal, but who knows if that's the cause? Sometimes deals are too good to be true!",,,
1,"On the above mentioned date, I faced unauthorized transactions through my e-wallet after falling for a fake promotional message. The message, pretending to be from the e-wallet provider, directed me to a malicious link for supposed exclusive offers. Attached are message records, communication details, and transaction statements.",,,
0,"Visited an investment-related chatroom, and there was this too-good-to-be-true investment tip. Shared my Demat account details for insider info, and now there are transactions I didn't authorize. Attached a screenshot of the chat, I couldn't resist to get investment tip.",,,
0,"Received a call, sounded official, asked for internet banking details for a cashback scheme. Gave it, and now there are transactions I didn't make. Attached the call recording, but don't know who was they but they cheat me. Callers can sound quite persuasive.",,,
1,"On the above mentioned date, I fell victim to vishing as my credit card details were compromised following a call claiming to be from a charity organization. The caller, posing as a representative, tricked me into providing card details for supposed charitable donations. Attached are call records, communication details, and transaction statements.",,,
1,"In an unforeseen event, unauthorized transactions occurred in my internet banking account after responding to a deceptive email offering a chance to win a gift voucher. The email directed me to a fake website where I shared my login credentials. Attached are email details, screenshots of the phishing site, and transaction records.",,,
